tra_infr,unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
MWAY,KM,ES52	1137 	1091 	1091 	1116 	1131 	1138 	1142 	1142 	1141 	1183 	1186 	1190 
MWAY,KM,ES53	94 	94 	94 	94 	94 	94 	93 	94 	94 	94 	94 	94 
MWAY,KM,ES61	2252 	2316 	2379 	2391 	2453 	2462 	2457 	2490 	2585 	2584 	2610 	2626 
MWAY,KM,ES62	450 	498 	517 	527 	533 	542 	569 	569 	572 	573 	596 	596 
MWAY,KM,ES63	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,ES64	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,ES70	217 	217 	217 	217 	219 	233 	233 	239 	246 	253 	271 	276 
MWAY,KM,FI19	102 	115 	114 	115 	126 	115 	115 	115 	115 	115 	115 	115 
MWAY,KM,FI1B	258 	257 	281 	281 	281 	281 	281 	322 	322 	322 	322 	322 
MWAY,KM,FI1C	244 	271 	271 	271 	271 	271 	281 	307 	307 	315 	318 	351 
MWAY,KM,FI1D	95 	95 	98 	112 	112 	112 	133 	138 	138 	138 	138 	138 
MWAY,KM,FI20	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MWAY,KM,FR10	607 	605 	605 	605 	613 	613 	613 	613 	613 	613 	614 	613 
MWAY,KM,FRB0	884 	884 	983 	983 	982 	982 	982 	981 	981 	981 	980 	980 
MWAY,KM,FRC1	686 	686 	685 	685 	686 	683 	683 	683 	683 	683 	683 	683 
MWAY,KM,FRC2	218 	218 	218 	218 	218 	218 	218 	218 	218 	218 	218 	218 
MWAY,KM,FRD1	240 	255 	255 	284 	283 	287 	287 	297 	287 	287 	287 	287 
MWAY,KM,FRD2	428 	428 	427 	427 	427 	427 	427 	427 	443 	443 	442 	443 
MWAY,KM,FRE1	597 	627 	627 	627 	627 	627 	627 	627 	627 	626 	626 	626 
MWAY,KM,FRE2	550 	550 	550 	550 	550 	550 	550 	551 	551 	551 	551 	553 
MWAY,KM,FRF1	301 	301 	301 	302 	302 	302 	302 	302 	300 	300 	300 	300 
MWAY,KM,FRF2	503 	503 	503 	516 	516 	516 	515 	515 	515 	515 	522 	542 
